store_id,sku_uid,trailing_demand_rate,days_of_cover,protection_days,service_level,recommended_cover_days,recommended_reorder_point,textbook_reorder_point,expected_demand_over_lead,safety_stock
INS01,12_1014_ROSE-GOLD_40,3.232142857142857,25.060773480662984,5.931840648477659,0.95,6.96,23,27,19.17,3.83
BES01,27_1119_ANTIC-GOLD_39,2.357142857142857,28.0,5.931840648477659,0.95,8.99,22,21,13.98,8.02
BES01,14_1028_ROSE-GOLD_40,1.5892857142857142,18.876404494382022,5.931840648477659,0.95,13.73,22,15,9.43,12.57
BES01,22_1084_NAVY_41,1.7321428571428572,21.938144329896907,5.931840648477659,0.95,12.45,22,16,10.27,11.73
AHS01,17_1049_MAROON_41,2.142857142857143,19.6,5.931840648477659,0.95,10.11,22,19,12.71,9.29
HYS01,22_1084_NAVY_42,1.0714285714285714,20.533333333333335,5.931840648477659,0.95,20.18,22,11,6.36,15.64
AHS01,27_1119_WHITE_40,2.482142857142857,25.381294964028775,5.931840648477659,0.95,8.1,21,22,14.72,6.28
AHS01,29_1133_BROWN_40,1.4642857142857142,21.853658536585368,5.931840648477659,0.95,14.25,21,14,8.69,12.31
CHS01,18_1056_GREY_42,3.267857142857143,12.546448087431694,5.931840648477659,0.95,6.39,21,27,19.38,1.62
KOS01,29_1133_BROWN_40,1.7142857142857142,19.833333333333336,5.931840648477659,0.95,10.68,19,16,10.17,8.83
BES01,18_1056_ANTIC-GOLD_42,1.5714285714285714,26.727272727272727,5.931840648477659,0.95,11.71,19,15,9.32,9.68
BES01,12_1014_BROWN_41,3.8392857142857144,25.525581395348837,5.931840648477659,0.95,4.76,19,31,22.77,-3.77
BES01,27_1119_ANTIC-GOLD_40,1.8571428571428572,19.384615384615383,5.931840648477659,0.95,9.81,19,17,11.02,7.98
COS01,12_1014_BROWN_39,3.2857142857142856,25.565217391304348,5.931840648477659,0.95,5.5,19,27,19.49,-0.49
CHS01,12_1014_ANTIC-GOLD_40,3.8214285714285716,24.33644859813084,5.931840648477659,0.95,4.84,19,31,22.67,-3.67
KOS01,12_1014_ROSE-GOLD_41,2.0535714285714284,18.01739130434783,5.931840648477659,0.95,8.8,19,18,12.18,6.82
KOS01,16_1042_TAN_40,1.375,27.636363636363637,5.931840648477659,0.95,13.48,19,13,8.16,10.84
INS01,12_1014_BROWN_40,3.25,20.307692307692307,5.931840648477659,0.95,5.69,19,27,19.28,-0.28
BES01,28_1126_ROSE-GOLD_41,1.6607142857142858,21.677419354838708,5.931840648477659,0.95,10.81,18,16,9.85,8.15
COS01,12_1014_ANTIC-GOLD_39,1.7678571428571428,18.1010101010101,5.931840648477659,0.95,9.64,18,16,10.49,7.51
BHS01,12_1014_ROSE-GOLD_40,1.6785714285714286,25.617021276595743,5.931840648477659,0.95,10.42,18,16,9.96,8.04
KOS01,27_1119_ANTIC-GOLD_39,1.0714285714285714,25.2,5.931840648477659,0.95,16.39,18,11,6.36,11.64
KOS01,12_1014_ROSE-GOLD_40,1.7142857142857142,23.333333333333336,5.931840648477659,0.95,10.0,18,16,10.17,7.83
CHS01,12_1014_ROSE-GOLD_42,3.267857142857143,27.54098360655738,5.931840648477659,0.95,5.42,18,27,19.38,-1.38
CHS01,12_1014_ANTIC-GOLD_39,2.8392857142857144,27.11949685534591,5.931840648477659,0.95,6.28,18,24,16.84,1.16
BES01,17_1049_BROWN_40,1.4464285714285714,18.666666666666668,5.931840648477659,0.95,11.86,18,14,8.58,9.42
BES01,23_1091_BROWN_41,1.4642857142857142,21.170731707317074,5.931840648477659,0.95,11.65,18,14,8.69,9.31
BES01,17_1049_BROWN_41,1.375,18.90909090909091,5.931840648477659,0.95,13.0,18,13,8.16,9.84
KOS01,12_1014_ROSE-GOLD_39,2.125,23.529411764705884,5.931840648477659,0.95,7.6,17,19,12.61,4.39
CHS01,12_1014_ROSE-GOLD_41,2.482142857142857,24.172661870503596,5.931840648477659,0.95,6.53,17,22,14.72,2.28
MUS01,21_1077_BLUE-NAVY_42,1.0178571428571428,40.280701754385966,5.931840648477659,0.95,16.13,17,11,6.04,10.96
BES01,14_1028_ROSE-GOLD_41,2.1607142857142856,19.90082644628099,5.931840648477659,0.95,7.46,17,19,12.82,4.18
BES01,17_1049_BLACK_40,1.0892857142857142,21.114754098360656,5.931840648477659,0.95,14.9,17,11,6.46,10.54
BES01,18_1056_ANTIC-GOLD_38,1.2321428571428572,26.782608695652172,5.931840648477659,0.95,13.25,17,12,7.31,9.69
PUS01,12_1014_ANTIC-GOLD_40,3.232142857142857,21.96685082872928,5.931840648477659,0.95,5.08,17,27,19.17,-2.17
BES01,18_1056_BLACK_41,2.1785714285714284,17.901639344262296,5.931840648477659,0.95,7.43,17,19,12.92,4.08
KOS01,27_1119_WHITE_41,1.3035714285714286,25.315068493150683,5.931840648477659,0.95,12.29,17,13,7.73,9.27
COS01,12_1014_ROSE-GOLD_40,1.4464285714285714,20.74074074074074,5.931840648477659,0.95,11.22,17,14,8.58,8.42
BHS01,12_1014_BROWN_40,2.6964285714285716,29.29801324503311,5.931840648477659,0.95,6.19,17,23,15.99,1.01
BES01,33_1161_ROSE-GOLD_41,1.1428571428571428,17.5,5.931840648477659,0.95,14.41,17,12,6.78,10.22
AHS01,18_1056_GREY_42,1.7678571428571428,23.191919191919194,5.931840648477659,0.95,9.5,17,16,10.49,6.51
HYS01,18_1056_BLACK_40,2.5,16.4,5.931840648477659,0.95,6.07,16,22,14.83,1.17
COS01,12_1014_ROSE-GOLD_39,2.6785714285714284,26.133333333333336,5.931840648477659,0.95,5.82,16,23,15.89,0.11
BES01,21_1077_BLUE-NAVY_40,1.3928571428571428,27.282051282051285,5.931840648477659,0.95,11.18,16,13,8.26,7.74
BES01,28_1126_TAN_40,1.8035714285714286,19.405940594059405,5.931840648477659,0.95,8.48,16,17,10.7,5.3
PUS01,12_1014_BROWN_40,3.4642857142857144,31.175257731958762,5.931840648477659,0.95,4.53,16,29,20.55,-4.55
BES01,28_1126_TAN_39,1.3035714285714286,25.315068493150683,5.931840648477659,0.95,12.11,16,13,7.73,8.27
PUS01,12_1014_ANTIC-GOLD_41,4.017857142857143,22.15111111111111,5.931840648477659,0.95,3.75,16,32,23.83,-7.83
HYS01,28_1126_TAN_40,3.232142857142857,25.679558011049725,5.931840648477659,0.95,4.89,16,27,19.17,-3.17
BES01,18_1056_ANTIC-GOLD_41,1.0535714285714286,25.627118644067796,5.931840648477659,0.95,14.95,16,11,6.25,9.75
BES01,28_1126_ROSE-GOLD_40,1.5178571428571428,19.105882352941176,5.931840648477659,0.95,9.93,16,14,9.0,7.0
INS01,12_1014_BROWN_39,1.4464285714285714,17.97530864197531,5.931840648477659,0.95,10.51,16,14,8.58,7.42
INS01,12_1014_ROSE-GOLD_41,2.107142857142857,18.508474576271187,5.931840648477659,0.95,7.09,15,19,12.5,2.5
BES01,13_1021_BROWN_39,1.3392857142857142,20.90666666666667,5.931840648477659,0.95,10.9,15,13,7.94,7.06
COS01,12_1014_ROSE-GOLD_41,2.017857142857143,23.787610619469028,5.931840648477659,0.95,7.38,15,18,11.97,3.03
KOS01,12_1014_ROSE-GOLD_38,1.4642857142857142,23.219512195121954,5.931840648477659,0.95,9.84,15,14,8.69,6.31
KOS01,14_1028_ROSE-GOLD_41,1.0178571428571428,26.526315789473685,5.931840648477659,0.95,14.15,15,11,6.04,8.96
KOS01,12_1014_ROSE-GOLD_42,1.6607142857142858,17.462365591397848,5.931840648477659,0.95,8.99,15,16,9.85,5.15
MUS01,25_1105_BLACK_40,0.8571428571428571,19.833333333333336,5.931840648477659,0.95,16.38,15,9,5.08,9.92
CHS01,14_1028_ROSE-GOLD_41,0.9821428571428571,20.363636363636363,5.931840648477659,0.95,14.66,15,10,5.83,9.17
MUS01,14_1028_NAVY_39,1.3571428571428572,19.157894736842103,5.931840648477659,0.95,10.39,15,13,8.05,6.95
MUS01,18_1056_ANTIC-GOLD_40,1.8214285714285714,20.313725490196077,5.931840648477659,0.95,7.77,15,17,10.8,4.2
AHS01,23_1091_BLUE-NAVY_39,0.9821428571428571,35.63636363636364,5.931840648477659,0.95,14.34,15,10,5.83,9.17
CHS01,28_1126_TAN_40,1.25,29.6,5.931840648477659,0.95,10.89,14,12,7.41,6.59
BES01,21_1077_BLUE-NAVY_41,1.6607142857142858,25.892473118279568,5.931840648477659,0.95,8.11,14,16,9.85,4.15
CHS01,18_1056_ANTIC-GOLD_39,1.4821428571428572,18.216867469879517,5.931840648477659,0.95,9.16,14,14,8.79,5.21
SUS01,12_1014_ROSE-GOLD_39,2.0714285714285716,22.206896551724135,5.931840648477659,0.95,6.52,14,19,12.29,1.71
SUS01,12_1014_ROSE-GOLD_40,1.5357142857142858,22.13953488372093,5.931840648477659,0.95,8.78,14,15,9.11,4.89
MUS01,29_1133_BROWN_40,2.267857142857143,24.692913385826774,5.931840648477659,0.95,5.79,14,20,13.45,0.55
MUS01,29_1133_BROWN_41,3.375,21.925925925925927,5.931840648477659,0.95,4.04,14,28,20.02,-6.02
HYS01,13_1021_BROWN_39,2.107142857142857,13.288135593220339,5.931840648477659,0.95,6.35,14,19,12.5,1.5
BES01,21_1077_BLUE-NAVY_39,1.0892857142857142,22.032786885245905,5.931840648477659,0.95,12.45,14,11,6.46,7.54
MUS01,22_1084_NAVY_42,0.7857142857142857,36.90909090909091,5.931840648477659,0.95,17.74,14,9,4.66,9.34
AHS01,18_1056_GREY_39,1.2678571428571428,18.140845070422536,5.931840648477659,0.95,10.39,14,13,7.52,6.48
MUS01,28_1126_TAN_39,3.25,17.846153846153847,5.931840648477659,0.95,4.24,14,27,19.28,-5.28
CHS01,18_1056_BLACK_41,1.8392857142857142,14.679611650485437,5.931840648477659,0.95,7.56,14,17,10.91,3.09
HYS01,12_1014_BROWN_38,3.5892857142857144,19.781094527363184,5.931840648477659,0.95,3.64,14,29,21.29,-7.29
AHS01,33_1161_BLUE-NAVY_40,1.2321428571428572,20.289855072463766,5.931840648477659,0.95,10.59,14,12,7.31,6.69
HYS01,18_1056_ANTIC-GOLD_39,1.7142857142857142,21.583333333333336,5.931840648477659,0.95,7.93,14,16,10.17,3.83
AHS01,33_1161_BLUE-NAVY_41,1.3928571428571428,19.384615384615387,5.931840648477659,0.95,9.72,14,13,8.26,5.74
BHS01,12_1014_BROWN_41,2.4642857142857144,19.478260869565215,5.931840648477659,0.95,5.43,14,21,14.62,-0.62
BHS01,12_1014_ANTIC-GOLD_39,1.1964285714285714,30.08955223880597,5.931840648477659,0.95,11.27,14,12,7.1,6.9
SUS01,12_1014_ROSE-GOLD_42,2.107142857142857,20.881355932203387,5.931840648477659,0.95,6.24,14,19,12.5,1.5
BES01,33_1161_ROSE-GOLD_40,1.0,22.0,5.931840648477659,0.95,13.62,14,10,5.93,8.07
AHS01,28_1126_TAN_39,1.625,24.0,5.931840648477659,0.95,8.51,14,15,9.64,4.36
INS01,18_1056_BLACK_41,1.125,32.0,5.931840648477659,0.95,11.27,13,11,6.67,6.33
BES01,14_1028_ROSE-GOLD_43,1.1607142857142858,21.538461538461537,5.931840648477659,0.95,10.57,13,12,6.89,6.11
BHS01,17_1049_MAROON_41,1.6607142857142858,15.655913978494622,5.931840648477659,0.95,7.39,13,16,9.85,3.15
AHS01,18_1056_GREY_41,1.2142857142857142,14.823529411764707,5.931840648477659,0.95,10.2,13,12,7.2,5.8
BES01,16_1042_ANTIC-GOLD_42,1.4464285714285714,23.506172839506174,5.931840648477659,0.95,8.73,13,14,8.58,4.42
CHS01,26_1112_WHITE_41,2.5892857142857144,17.379310344827584,5.931840648477659,0.95,4.76,13,22,15.36,-2.36
HYS01,12_1014_BROWN_41,2.0,21.5,5.931840648477659,0.95,6.04,13,18,11.86,1.14
PUS01,18_1056_ANTIC-GOLD_42,1.3035714285714286,19.945205479452053,5.931840648477659,0.95,9.21,13,13,7.73,5.27
BHS01,12_1014_ROSE-GOLD_41,1.7857142857142858,25.759999999999998,5.931840648477659,0.95,6.84,13,16,10.59,2.41
BES01,33_1161_BLUE-NAVY_40,1.4642857142857142,22.53658536585366,5.931840648477659,0.95,8.59,13,14,8.69,4.31
COS01,12_1014_ANTIC-GOLD_41,2.6964285714285716,22.62251655629139,5.931840648477659,0.95,4.47,13,23,15.99,-2.99
BES01,27_1119_ANTIC-GOLD_38,1.4107142857142858,20.556962025316455,5.931840648477659,0.95,9.08,13,14,8.37,4.63
HYS01,18_1056_ANTIC-GOLD_40,2.1607142857142856,21.289256198347108,5.931840648477659,0.95,5.65,13,19,12.82,0.18
BES01,31_1147_ANTIC-GOLD_40,0.8928571428571429,24.639999999999997,5.931840648477659,0.95,13.75,13,10,5.3,7.7
BES01,33_1161_BLUE-NAVY_42,0.8571428571428571,16.333333333333336,5.931840648477659,0.95,14.8,13,9,5.08,7.92
HYS01,18_1056_ANTIC-GOLD_41,2.375,20.210526315789473,5.931840648477659,0.95,5.17,13,21,14.09,-1.09
BES01,29_1133_BROWN_39,1.5535714285714286,21.241379310344826,5.931840648477659,0.95,8.19,13,15,9.22,3.78
SUS01,12_1014_ROSE-GOLD_41,2.2142857142857144,26.193548387096772,5.931840648477659,0.95,5.54,13,20,13.13,-0.13
HYS01,28_1126_TAN_41,2.9285714285714284,26.29268292682927,5.931840648477659,0.95,4.15,13,25,17.37,-4.37
INS01,29_1133_BROWN_40,2.0,20.0,5.931840648477659,0.95,6.33,13,18,11.86,1.14
BHS01,12_1014_ROSE-GOLD_39,1.5892857142857142,22.65168539325843,5.931840648477659,0.95,7.93,13,15,9.43,3.57
MAS01,12_1014_ROSE-GOLD_40,1.4821428571428572,22.265060240963855,5.931840648477659,0.95,8.55,13,14,8.79,4.21
AHS01,28_1126_TAN_41,1.1607142857142858,19.815384615384612,5.931840648477659,0.95,10.78,13,12,6.89,6.11
BHS01,29_1133_BROWN_40,1.4107142857142858,24.81012658227848,5.931840648477659,0.95,8.02,12,14,8.37,3.63
AHS01,31_1147_ANTIC-GOLD_40,2.0,20.0,5.931840648477659,0.95,5.87,12,18,11.86,0.14
CHS01,14_1028_NAVY_40,2.5,14.4,5.931840648477659,0.95,4.68,12,22,14.83,-2.83
AHS01,28_1126_TAN_42,1.1785714285714286,20.363636363636363,5.931840648477659,0.95,9.36,12,12,6.99,5.01
PUS01,12_1014_BROWN_39,2.3392857142857144,27.78625954198473,5.931840648477659,0.95,4.9,12,21,13.88,-1.88
HYS01,31_1147_ANTIC-GOLD_41,3.0535714285714284,22.923976608187136,5.931840648477659,0.95,3.81,12,26,18.11,-6.11
AHS01,25_1105_MAROON_41,0.9642857142857143,15.555555555555555,5.931840648477659,0.95,11.94,12,10,5.72,6.28
BES01,12_1014_BROWN_38,2.9464285714285716,30.206060606060603,5.931840648477659,0.95,4.04,12,25,17.48,-5.48
COS01,12_1014_ROSE-GOLD_42,1.4107142857142858,20.556962025316455,5.931840648477659,0.95,8.42,12,14,8.37,3.63
BES01,33_1161_BLUE-NAVY_41,1.2678571428571428,18.929577464788732,5.931840648477659,0.95,9.18,12,13,7.52,4.48
HYS01,21_1077_MAROON_38,0.7678571428571429,19.53488372093023,5.931840648477659,0.95,14.42,12,9,4.55,7.45
MUS01,18_1056_BLACK_39,2.125,17.41176470588235,5.931840648477659,0.95,5.22,12,19,12.61,-0.61
AHS01,29_1133_BROWN_39,1.125,16.88888888888889,5.931840648477659,0.95,9.85,12,11,6.67,5.33
PUS01,17_1049_BROWN_40,1.0714285714285714,17.733333333333334,5.931840648477659,0.95,11.0,12,11,6.36,5.64
KOS01,17_1049_BROWN_39,0.9107142857142857,24.15686274509804,5.931840648477659,0.95,12.35,12,10,5.4,6.6
AHS01,18_1056_ANTIC-GOLD_41,2.4464285714285716,27.38686131386861,5.931840648477659,0.95,4.61,12,21,14.51,-2.51
BES01,13_1021_BROWN_41,1.4107142857142858,23.392405063291136,5.931840648477659,0.95,8.2,12,14,8.37,3.63
CHS01,26_1112_WHITE_39,3.0,22.333333333333332,5.931840648477659,0.95,3.84,12,25,17.8,-5.8
BES01,17_1049_BLACK_39,0.875,21.714285714285715,5.931840648477659,0.95,13.2,12,9,5.19,6.81
BES01,19_1063_MAROON_42,1.0,15.0,5.931840648477659,0.95,11.08,12,10,5.93,6.07
PUS01,28_1126_ROSE-GOLD_41,3.017857142857143,24.5207100591716,5.931840648477659,0.95,3.95,12,25,17.9,-5.9
KOS01,27_1119_ANTIC-GOLD_41,1.875,19.2,5.931840648477659,0.95,6.06,12,17,11.12,0.88
KOS01,28_1126_ROSE-GOLD_40,0.7857142857142857,19.09090909090909,5.931840648477659,0.95,14.68,12,9,4.66,7.34
BES01,31_1147_MAROON_40,1.0,17.0,5.931840648477659,0.95,10.53,11,10,5.93,5.07
HYS01,12_1014_BROWN_42,3.3214285714285716,21.978494623655912,5.931840648477659,0.95,3.19,11,28,19.7,-8.7
PUS01,17_1049_BLACK_37,0.4642857142857143,21.538461538461537,5.931840648477659,0.95,22.7,11,6,2.75,8.25
BES01,28_1126_ROSE-GOLD_39,1.5535714285714286,23.816091954022987,5.931840648477659,0.95,7.06,11,15,9.22,1.78
CHS01,25_1105_BROWN_40,2.357142857142857,19.09090909090909,5.931840648477659,0.95,4.53,11,21,13.98,-2.98
PUS01,28_1126_TAN_40,1.3928571428571428,22.25641025641026,5.931840648477659,0.95,7.88,11,13,8.26,2.74
PUS01,10_1000_ROSE-GOLD_40,1.8035714285714286,18.85148514851485,5.931840648477659,0.95,5.94,11,17,10.7,0.3
HYS01,25_1105_BLACK_40,2.017857142857143,15.36283185840708,5.931840648477659,0.95,5.06,11,18,11.97,-0.97
MAS01,12_1014_ANTIC-GOLD_39,0.875,32.0,5.931840648477659,0.95,11.56,11,9,5.19,5.81
AHS01,27_1119_WHITE_42,1.1607142857142858,24.98461538461538,5.931840648477659,0.95,9.04,11,12,6.89,4.11
BES01,31_1147_MAROON_41,0.9821428571428571,24.436363636363637,5.931840648477659,0.95,10.66,11,10,5.83,5.17
KOS01,14_1028_ROSE-GOLD_39,1.5714285714285714,17.81818181818182,5.931840648477659,0.95,6.69,11,15,9.32,1.68
AHS01,25_1105_BLACK_41,1.2857142857142858,26.444444444444443,5.931840648477659,0.95,8.46,11,13,7.63,3.37
PUS01,18_1056_ANTIC-GOLD_39,1.5,26.666666666666668,5.931840648477659,0.95,6.79,11,14,8.9,2.1
CHS01,28_1126_BLUE-NAVY_41,1.9821428571428572,13.621621621621621,5.931840648477659,0.95,5.26,11,18,11.76,-0.76
AHS01,13_1021_BROWN_41,2.3035714285714284,21.70542635658915,5.931840648477659,0.95,4.66,11,20,13.66,-2.66
AHS01,13_1021_BROWN_38,1.0,18.0,5.931840648477659,0.95,10.3,11,10,5.93,5.07
HYS01,26_1112_WHITE_39,2.9285714285714284,23.5609756097561,5.931840648477659,0.95,3.7,11,25,17.37,-6.37
AHS01,16_1042_ANTIC-GOLD_40,1.4821428571428572,28.33734939759036,5.931840648477659,0.95,7.15,11,14,8.79,2.21
PUS01,25_1105_BLACK_39,2.0535714285714284,16.069565217391307,5.931840648477659,0.95,5.06,11,18,12.18,-1.18
BHS01,12_1014_ANTIC-GOLD_41,1.6964285714285714,15.91578947368421,5.931840648477659,0.95,6.0,11,16,10.06,0.94
MAS01,12_1014_BROWN_41,1.6428571428571428,17.65217391304348,5.931840648477659,0.95,6.13,11,15,9.75,1.25
BES01,23_1091_BROWN_42,0.8214285714285714,18.26086956521739,5.931840648477659,0.95,13.3,11,9,4.87,6.13
AHS01,22_1084_NAVY_41,1.3214285714285714,31.027027027027028,5.931840648477659,0.95,7.64,11,13,7.84,3.16
AHS01,17_1049_MAROON_42,1.6071428571428572,20.53333333333333,5.931840648477659,0.95,6.36,11,15,9.53,1.47
PUS01,14_1028_ROSE-GOLD_40,2.017857142857143,17.84070796460177,5.931840648477659,0.95,5.38,11,18,11.97,-0.97
CHS01,28_1126_TAN_42,2.107142857142857,14.711864406779661,5.931840648477659,0.95,5.01,11,19,12.5,-1.5
MAS01,28_1126_TAN_40,1.1964285714285714,17.55223880597015,5.931840648477659,0.95,8.56,11,12,7.1,3.9
BES01,17_1049_BROWN_42,1.5357142857142858,18.232558139534884,5.931840648477659,0.95,6.77,11,15,9.11,1.89
BES01,23_1091_BLACK_41,1.0178571428571428,30.456140350877195,5.931840648477659,0.95,9.96,11,11,6.04,4.96
COS01,12_1014_ANTIC-GOLD_40,1.8392857142857142,25.009708737864077,5.931840648477659,0.95,5.86,11,17,10.91,0.09
AHS01,25_1105_BROWN_40,1.375,25.454545454545453,5.931840648477659,0.95,7.42,11,13,8.16,2.84
KOS01,29_1133_BROWN_41,1.125,21.333333333333332,5.931840648477659,0.95,8.09,10,11,6.67,3.33
INS01,12_1014_BROWN_41,1.9285714285714286,25.925925925925924,5.931840648477659,0.95,4.68,10,18,11.44,-1.44
INS01,12_1014_BROWN_42,1.0357142857142858,28.965517241379306,5.931840648477659,0.95,9.01,10,11,6.14,3.86
PUS01,27_1119_WHITE_40,2.25,22.666666666666668,5.931840648477659,0.95,4.17,10,20,13.35,-3.35
BES01,18_1056_ANTIC-GOLD_43,0.6428571428571429,21.777777777777775,5.931840648477659,0.95,15.44,10,8,3.81,6.19
BES01,13_1021_WHITE_38,0.7857142857142857,20.363636363636363,5.931840648477659,0.95,12.45,10,9,4.66,5.34
PUS01,10_1000_BROWN_39,0.5892857142857143,23.757575757575758,5.931840648477659,0.95,15.9,10,7,3.5,6.5
KOS01,29_1133_BROWN_42,1.2857142857142858,14.777777777777777,5.931840648477659,0.95,7.08,10,13,7.63,2.37
BHS01,16_1042_TAN_40,1.3928571428571428,17.94871794871795,5.931840648477659,0.95,7.15,10,13,8.26,1.74
AHS01,10_1000_WHITE_42,1.0892857142857142,20.19672131147541,5.931840648477659,0.95,8.82,10,11,6.46,3.54
CHS01,18_1056_GREY_41,1.8928571428571428,16.37735849056604,5.931840648477659,0.95,4.96,10,17,11.23,-1.23
MAS01,12_1014_ROSE-GOLD_39,1.4285714285714286,23.099999999999998,5.931840648477659,0.95,6.72,10,14,8.47,1.53
PUS01,22_1084_NAVY_42,0.5892857142857143,18.666666666666668,5.931840648477659,0.95,16.35,10,7,3.5,6.5
AHS01,14_1028_NAVY_42,1.2142857142857142,24.705882352941178,5.931840648477659,0.95,7.5,10,12,7.2,2.8
AHS01,14_1028_ROSE-GOLD_38,0.8571428571428571,18.666666666666668,5.931840648477659,0.95,10.54,10,9,5.08,4.92
AHS01,14_1028_NAVY_40,1.2142857142857142,23.88235294117647,5.931840648477659,0.95,8.01,10,12,7.2,2.8
PUS01,18_1056_ANTIC-GOLD_40,1.2857142857142858,25.666666666666664,5.931840648477659,0.95,7.28,10,13,7.63,2.37
AHS01,31_1147_ANTIC-GOLD_39,0.7321428571428571,17.75609756097561,5.931840648477659,0.95,12.48,10,8,4.34,5.66
PUS01,12_1014_BROWN_42,3.375,24.59259259259259,5.931840648477659,0.95,2.75,10,28,20.02,-10.02
BES01,33_1161_ROSE-GOLD_39,0.875,29.714285714285715,5.931840648477659,0.95,10.72,10,9,5.19,4.81
BES01,16_1042_TAN_38,0.5178571428571429,15.448275862068964,5.931840648477659,0.95,19.23,10,6,3.07,6.93
BES01,13_1021_WHITE_39,0.9642857142857143,30.074074074074073,5.931840648477659,0.95,9.38,10,10,5.72,4.28
CHS01,28_1126_ROSE-GOLD_41,1.6428571428571428,18.869565217391305,5.931840648477659,0.95,5.7,10,15,9.75,0.25
CHS01,17_1049_MAROON_41,1.5714285714285714,17.181818181818183,5.931840648477659,0.95,5.94,10,15,9.32,0.68
INS01,12_1014_ROSE-GOLD_39,1.4107142857142858,24.81012658227848,5.931840648477659,0.95,6.64,10,14,8.37,1.63
