store_id,sku_uid,trailing_demand_rate,protection_days,service_level,dispersion_k,expected_demand_over_lead,recommended_reorder_point,textbook_reorder_point,safety_stock,recommended_cover_days
HYS01,28_1126_TAN_41,2.9285714285714284,7.98,0.95,1.582,23.36,61,32,37.64,20.83
HYS01,26_1112_WHITE_39,2.9285714285714284,7.98,0.95,1.582,23.36,61,32,37.64,20.83
BES01,12_1014_BROWN_39,2.9285714285714284,7.98,0.95,1.582,23.36,61,32,37.64,20.83
CHS01,12_1014_ANTIC-GOLD_39,2.8392857142857144,7.98,0.95,1.582,22.65,59,31,36.35,20.78
AHS01,12_1014_ROSE-GOLD_43,2.767857142857143,7.98,0.95,1.582,22.08,58,30,35.92,20.95
SUS01,12_1014_ANTIC-GOLD_41,2.75,7.98,0.95,1.582,21.93,57,30,35.07,20.73
BHS01,12_1014_BROWN_40,2.6964285714285716,7.98,0.95,1.582,21.51,56,30,34.489999999999995,20.77
COS01,12_1014_ANTIC-GOLD_41,2.6964285714285716,7.98,0.95,1.582,21.51,56,30,34.489999999999995,20.77
COS01,12_1014_ROSE-GOLD_39,2.6785714285714284,7.98,0.95,1.582,21.36,56,29,34.64,20.91
BES01,12_1014_ROSE-GOLD_39,2.6607142857142856,7.98,0.95,1.582,21.22,56,29,34.78,21.05
BES01,12_1014_BROWN_42,2.607142857142857,7.98,0.95,1.582,20.79,54,29,33.21,20.71
CHS01,26_1112_WHITE_41,2.5892857142857144,7.98,0.95,1.582,20.65,54,29,33.35,20.86
BES01,12_1014_ROSE-GOLD_38,2.517857142857143,7.98,0.95,1.582,20.08,53,28,32.92,21.05
MUS01,29_1133_BROWN_42,2.517857142857143,7.98,0.95,1.582,20.08,53,28,32.92,21.05
HYS01,18_1056_BLACK_40,2.5,7.98,0.95,1.582,19.94,52,28,32.06,20.8
CHS01,12_1014_ROSE-GOLD_41,2.482142857142857,7.98,0.95,1.582,19.8,52,28,32.2,20.95
AHS01,27_1119_WHITE_40,2.482142857142857,7.98,0.95,1.582,19.8,52,28,32.2,20.95
BES01,29_1133_BROWN_40,2.4642857142857144,7.98,0.95,1.582,19.66,52,27,32.34,21.1
CHS01,14_1028_NAVY_40,2.5,7.98,0.95,1.582,19.94,52,28,32.06,20.8
BES01,12_1014_ROSE-GOLD_42,2.4642857142857144,7.98,0.95,1.582,19.66,52,27,32.34,21.1
BHS01,12_1014_BROWN_41,2.4642857142857144,7.98,0.95,1.582,19.66,52,27,32.34,21.1
AHS01,18_1056_ANTIC-GOLD_41,2.4464285714285716,7.98,0.95,1.582,19.51,51,27,31.49,20.85
HYS01,18_1056_ANTIC-GOLD_41,2.375,7.98,0.95,1.582,18.94,50,27,31.06,21.05
MUS01,14_1028_WHITE_40,2.392857142857143,7.98,0.95,1.582,19.09,50,27,30.91,20.9
MUS01,16_1042_BLUE-NAVY_40,2.392857142857143,7.98,0.95,1.582,19.09,50,27,30.91,20.9
BES01,27_1119_ANTIC-GOLD_39,2.357142857142857,7.98,0.95,1.582,18.8,49,26,30.2,20.79
CHS01,25_1105_BROWN_40,2.357142857142857,7.98,0.95,1.582,18.8,49,26,30.2,20.79
PUS01,12_1014_BROWN_39,2.3392857142857144,7.98,0.95,1.582,18.66,49,26,30.34,20.95
PUS01,12_1014_BROWN_38,2.2857142857142856,7.98,0.95,1.582,18.23,48,26,29.77,21.0
MUS01,29_1133_BROWN_40,2.267857142857143,7.98,0.95,1.582,18.09,48,26,29.91,21.17
AHS01,13_1021_BROWN_41,2.3035714285714284,7.98,0.95,1.582,18.37,48,26,29.63,20.84
CHS01,18_1056_GREY_38,2.3035714285714284,7.98,0.95,1.582,18.37,48,26,29.63,20.84
PUS01,27_1119_WHITE_40,2.25,7.98,0.95,1.582,17.95,47,25,29.05,20.89
CHS01,23_1091_BROWN_40,2.1785714285714284,7.98,0.95,1.582,17.38,46,25,28.62,21.11
BES01,18_1056_BLACK_41,2.1785714285714284,7.98,0.95,1.582,17.38,46,25,28.62,21.11
HYS01,26_1112_WHITE_40,2.1785714285714284,7.98,0.95,1.582,17.38,46,25,28.62,21.11
SUS01,12_1014_ROSE-GOLD_41,2.2142857142857144,7.98,0.95,1.582,17.66,46,25,28.34,20.77
HYS01,18_1056_ANTIC-GOLD_40,2.1607142857142856,7.98,0.95,1.582,17.23,45,25,27.77,20.83
MUS01,27_1119_WHITE_41,2.125,7.98,0.95,1.582,16.95,45,24,28.05,21.18
KOS01,12_1014_ROSE-GOLD_39,2.125,7.98,0.95,1.582,16.95,45,24,28.05,21.18
HYS01,12_1014_BROWN_43,2.1607142857142856,7.98,0.95,1.582,17.23,45,25,27.77,20.83
PUS01,12_1014_ANTIC-GOLD_38,2.142857142857143,7.98,0.95,1.582,17.09,45,24,27.91,21.0
MUS01,18_1056_BLACK_39,2.125,7.98,0.95,1.582,16.95,45,24,28.05,21.18
AHS01,17_1049_MAROON_41,2.142857142857143,7.98,0.95,1.582,17.09,45,24,27.91,21.0
BES01,14_1028_ROSE-GOLD_41,2.1607142857142856,7.98,0.95,1.582,17.23,45,25,27.77,20.83
MUS01,22_1084_NAVY_40,2.107142857142857,7.98,0.95,1.582,16.81,44,24,27.19,20.88
SUS01,12_1014_ROSE-GOLD_42,2.107142857142857,7.98,0.95,1.582,16.81,44,24,27.19,20.88
INS01,12_1014_ROSE-GOLD_41,2.107142857142857,7.98,0.95,1.582,16.81,44,24,27.19,20.88
HYS01,13_1021_BROWN_39,2.107142857142857,7.98,0.95,1.582,16.81,44,24,27.19,20.88
CHS01,28_1126_TAN_42,2.107142857142857,7.98,0.95,1.582,16.81,44,24,27.19,20.88
PUS01,25_1105_MAROON_40,2.0892857142857144,7.98,0.95,1.582,16.66,44,24,27.34,21.06
PUS01,25_1105_BLACK_39,2.0535714285714284,7.98,0.95,1.582,16.38,43,24,26.62,20.94
AHS01,19_1063_MAROON_41,2.0535714285714284,7.98,0.95,1.582,16.38,43,24,26.62,20.94
KOS01,12_1014_ROSE-GOLD_41,2.0535714285714284,7.98,0.95,1.582,16.38,43,24,26.62,20.94
HYS01,26_1112_WHITE_42,2.0357142857142856,7.98,0.95,1.582,16.24,43,23,26.76,21.12
SUS01,12_1014_ROSE-GOLD_39,2.0714285714285716,7.98,0.95,1.582,16.52,43,24,26.48,20.76
COS01,12_1014_ROSE-GOLD_41,2.017857142857143,7.98,0.95,1.582,16.09,42,23,25.91,20.81
CHS01,28_1126_BLUE-NAVY_41,1.9821428571428572,7.98,0.95,1.582,15.81,42,23,26.189999999999998,21.19
CHS01,16_1042_TAN_39,1.9821428571428572,7.98,0.95,1.582,15.81,42,23,26.189999999999998,21.19
BES01,26_1112_WHITE_41,1.9821428571428572,7.98,0.95,1.582,15.81,42,23,26.189999999999998,21.19
BES01,26_1112_WHITE_39,2.017857142857143,7.98,0.95,1.582,16.09,42,23,25.91,20.81
AHS01,31_1147_ANTIC-GOLD_40,2.0,7.98,0.95,1.582,15.95,42,23,26.05,21.0
INS01,29_1133_BROWN_40,2.0,7.98,0.95,1.582,15.95,42,23,26.05,21.0
SUS01,12_1014_ANTIC-GOLD_38,2.017857142857143,7.98,0.95,1.582,16.09,42,23,25.91,20.81
CHS01,14_1028_ROSE-GOLD_40,2.0,7.98,0.95,1.582,15.95,42,23,26.05,21.0
HYS01,12_1014_BROWN_41,2.0,7.98,0.95,1.582,15.95,42,23,26.05,21.0
PUS01,14_1028_ROSE-GOLD_40,2.017857142857143,7.98,0.95,1.582,16.09,42,23,25.91,20.81
HYS01,25_1105_BLACK_40,2.017857142857143,7.98,0.95,1.582,16.09,42,23,25.91,20.81
PUS01,12_1014_ANTIC-GOLD_42,1.9821428571428572,7.98,0.95,1.582,15.81,42,23,26.189999999999998,21.19
PUS01,31_1147_ANTIC-GOLD_40,1.9642857142857142,7.98,0.95,1.582,15.67,41,23,25.33,20.87
PUS01,27_1119_WHITE_42,1.9464285714285714,7.98,0.95,1.582,15.52,41,23,25.48,21.06
PUS01,17_1049_BROWN_41,1.9464285714285714,7.98,0.95,1.582,15.52,41,23,25.48,21.06
INS01,12_1014_BROWN_41,1.9285714285714286,7.98,0.95,1.582,15.38,41,22,25.619999999999997,21.26
COS01,17_1049_BROWN_40,1.9285714285714286,7.98,0.95,1.582,15.38,41,22,25.619999999999997,21.26
HYS01,31_1147_ANTIC-GOLD_42,1.9285714285714286,7.98,0.95,1.582,15.38,41,22,25.619999999999997,21.26
BES01,18_1056_BLACK_39,1.9285714285714286,7.98,0.95,1.582,15.38,41,22,25.619999999999997,21.26
CHS01,18_1056_GREY_39,1.9285714285714286,7.98,0.95,1.582,15.38,41,22,25.619999999999997,21.26
KOS01,25_1105_MAROON_42,1.8928571428571428,7.98,0.95,1.582,15.1,40,22,24.9,21.13
MUS01,22_1084_NAVY_39,1.9107142857142858,7.98,0.95,1.582,15.24,40,22,24.759999999999998,20.93
MUS01,16_1042_TAN_40,1.9107142857142858,7.98,0.95,1.582,15.24,40,22,24.759999999999998,20.93
CHS01,18_1056_GREY_41,1.8928571428571428,7.98,0.95,1.582,15.1,40,22,24.9,21.13
BHS01,12_1014_BROWN_42,1.9107142857142858,7.98,0.95,1.582,15.24,40,22,24.759999999999998,20.93
BES01,27_1119_ANTIC-GOLD_40,1.8571428571428572,7.98,0.95,1.582,14.81,39,22,24.189999999999998,21.0
PUS01,31_1147_MAROON_40,1.875,7.98,0.95,1.582,14.96,39,22,24.04,20.8
COS01,12_1014_ANTIC-GOLD_40,1.8392857142857142,7.98,0.95,1.582,14.67,39,21,24.33,21.2
KOS01,27_1119_ANTIC-GOLD_41,1.875,7.98,0.95,1.582,14.96,39,22,24.04,20.8
PUS01,22_1084_NAVY_41,1.8571428571428572,7.98,0.95,1.582,14.81,39,22,24.189999999999998,21.0
CHS01,16_1042_TAN_40,1.875,7.98,0.95,1.582,14.96,39,22,24.04,20.8
CHS01,18_1056_BLACK_41,1.8392857142857142,7.98,0.95,1.582,14.67,39,21,24.33,21.2
MUS01,27_1119_WHITE_39,1.8392857142857142,7.98,0.95,1.582,14.67,39,21,24.33,21.2
AHS01,28_1126_TAN_40,1.8571428571428572,7.98,0.95,1.582,14.81,39,22,24.189999999999998,21.0
BHS01,33_1161_ROSE-GOLD_41,1.8392857142857142,7.98,0.95,1.582,14.67,39,21,24.33,21.2
BES01,27_1119_ANTIC-GOLD_42,1.8571428571428572,7.98,0.95,1.582,14.81,39,22,24.189999999999998,21.0
HYS01,11_1007_TAN_40,1.7857142857142858,7.98,0.95,1.582,14.24,38,21,23.759999999999998,21.28
MUS01,18_1056_ANTIC-GOLD_40,1.8214285714285714,7.98,0.95,1.582,14.53,38,21,23.47,20.86
BES01,28_1126_TAN_40,1.8035714285714286,7.98,0.95,1.582,14.39,38,21,23.61,21.07
AHS01,14_1028_ROSE-GOLD_41,1.8035714285714286,7.98,0.95,1.582,14.39,38,21,23.61,21.07
AHS01,18_1056_GREY_40,1.8035714285714286,7.98,0.95,1.582,14.39,38,21,23.61,21.07
CHS01,28_1126_BLUE-NAVY_38,1.8035714285714286,7.98,0.95,1.582,14.39,38,21,23.61,21.07
PUS01,14_1028_NAVY_41,1.8035714285714286,7.98,0.95,1.582,14.39,38,21,23.61,21.07
MUS01,16_1042_TAN_41,1.7857142857142858,7.98,0.95,1.582,14.24,38,21,23.759999999999998,21.28
BES01,26_1112_WHITE_38,1.8035714285714286,7.98,0.95,1.582,14.39,38,21,23.61,21.07
MUS01,14_1028_NAVY_42,1.7857142857142858,7.98,0.95,1.582,14.24,38,21,23.759999999999998,21.28
PUS01,10_1000_ROSE-GOLD_40,1.8035714285714286,7.98,0.95,1.582,14.39,38,21,23.61,21.07
CHS01,12_1014_ROSE-GOLD_43,1.8035714285714286,7.98,0.95,1.582,14.39,38,21,23.61,21.07
HYS01,19_1063_MAROON_41,1.7857142857142858,7.98,0.95,1.582,14.24,38,21,23.759999999999998,21.28
CHS01,12_1014_ROSE-GOLD_37,1.7857142857142858,7.98,0.95,1.582,14.24,38,21,23.759999999999998,21.28
BHS01,12_1014_ROSE-GOLD_41,1.7857142857142858,7.98,0.95,1.582,14.24,38,21,23.759999999999998,21.28
BHS01,12_1014_BROWN_38,1.8214285714285714,7.98,0.95,1.582,14.53,38,21,23.47,20.86
HYS01,19_1063_MAROON_39,1.7678571428571428,7.98,0.95,1.582,14.1,37,21,22.9,20.93
PUS01,28_1126_ROSE-GOLD_40,1.7678571428571428,7.98,0.95,1.582,14.1,37,21,22.9,20.93
COS01,12_1014_ANTIC-GOLD_39,1.7678571428571428,7.98,0.95,1.582,14.1,37,21,22.9,20.93
BES01,18_1056_ANTIC-GOLD_40,1.75,7.98,0.95,1.582,13.96,37,21,23.04,21.14
MUS01,18_1056_BLACK_41,1.75,7.98,0.95,1.582,13.96,37,21,23.04,21.14
INS01,28_1126_BLUE-NAVY_40,1.7678571428571428,7.98,0.95,1.582,14.1,37,21,22.9,20.93
HYS01,26_1112_WHITE_41,1.75,7.98,0.95,1.582,13.96,37,21,23.04,21.14
BES01,22_1084_NAVY_41,1.7321428571428572,7.98,0.95,1.582,13.82,37,20,23.18,21.36
AHS01,18_1056_GREY_42,1.7678571428571428,7.98,0.95,1.582,14.1,37,21,22.9,20.93
CHS01,14_1028_ROSE-GOLD_42,1.7321428571428572,7.98,0.95,1.582,13.82,37,20,23.18,21.36
MUS01,27_1119_WHITE_40,1.7321428571428572,7.98,0.95,1.582,13.82,37,20,23.18,21.36
KOS01,12_1014_ROSE-GOLD_40,1.7142857142857142,7.98,0.95,1.582,13.67,36,20,22.33,21.0
CHS01,28_1126_BLUE-NAVY_39,1.6964285714285714,7.98,0.95,1.582,13.53,36,20,22.47,21.22
BHS01,12_1014_ANTIC-GOLD_41,1.6964285714285714,7.98,0.95,1.582,13.53,36,20,22.47,21.22
BES01,29_1133_BROWN_42,1.7142857142857142,7.98,0.95,1.582,13.67,36,20,22.33,21.0
KOS01,29_1133_BROWN_40,1.7142857142857142,7.98,0.95,1.582,13.67,36,20,22.33,21.0
HYS01,13_1021_WHITE_40,1.6964285714285714,7.98,0.95,1.582,13.53,36,20,22.47,21.22
BHS01,12_1014_ANTIC-GOLD_40,1.6964285714285714,7.98,0.95,1.582,13.53,36,20,22.47,21.22
HYS01,18_1056_ANTIC-GOLD_39,1.7142857142857142,7.98,0.95,1.582,13.67,36,20,22.33,21.0
AHS01,18_1056_ANTIC-GOLD_40,1.6964285714285714,7.98,0.95,1.582,13.53,36,20,22.47,21.22
MUS01,17_1049_MAROON_42,1.7142857142857142,7.98,0.95,1.582,13.67,36,20,22.33,21.0
BES01,28_1126_ROSE-GOLD_41,1.6607142857142858,7.98,0.95,1.582,13.25,35,20,21.75,21.08
MUS01,18_1056_ANTIC-GOLD_39,1.6428571428571428,7.98,0.95,1.582,13.1,35,20,21.9,21.3
BHS01,17_1049_MAROON_41,1.6607142857142858,7.98,0.95,1.582,13.25,35,20,21.75,21.08
CHS01,28_1126_ROSE-GOLD_41,1.6428571428571428,7.98,0.95,1.582,13.1,35,20,21.9,21.3
BES01,21_1077_BLUE-NAVY_41,1.6607142857142858,7.98,0.95,1.582,13.25,35,20,21.75,21.08
BHS01,12_1014_ROSE-GOLD_40,1.6785714285714286,7.98,0.95,1.582,13.39,35,20,21.61,20.85
CHS01,27_1119_WHITE_41,1.6785714285714286,7.98,0.95,1.582,13.39,35,20,21.61,20.85
KOS01,12_1014_ROSE-GOLD_42,1.6607142857142858,7.98,0.95,1.582,13.25,35,20,21.75,21.08
MAS01,12_1014_BROWN_41,1.6428571428571428,7.98,0.95,1.582,13.1,35,20,21.9,21.3
CHS01,14_1028_NAVY_39,1.6785714285714286,7.98,0.95,1.582,13.39,35,20,21.61,20.85
HYS01,17_1049_MAROON_41,1.6428571428571428,7.98,0.95,1.582,13.1,35,20,21.9,21.3
BHS01,28_1126_BLUE-NAVY_41,1.6785714285714286,7.98,0.95,1.582,13.39,35,20,21.61,20.85
BHS01,27_1119_ANTIC-GOLD_42,1.6607142857142858,7.98,0.95,1.582,13.25,35,20,21.75,21.08
BES01,27_1119_ANTIC-GOLD_41,1.6428571428571428,7.98,0.95,1.582,13.1,35,20,21.9,21.3
PUS01,14_1028_ROSE-GOLD_42,1.6785714285714286,7.98,0.95,1.582,13.39,35,20,21.61,20.85
CHS01,16_1042_ANTIC-GOLD_39,1.6785714285714286,7.98,0.95,1.582,13.39,35,20,21.61,20.85
CHS01,33_1161_ROSE-GOLD_40,1.5892857142857142,7.98,0.95,1.582,12.68,34,19,21.32,21.39
BHS01,12_1014_ROSE-GOLD_39,1.5892857142857142,7.98,0.95,1.582,12.68,34,19,21.32,21.39
BES01,28_1126_TAN_41,1.5892857142857142,7.98,0.95,1.582,12.68,34,19,21.32,21.39
SUS01,14_1028_ROSE-GOLD_41,1.5892857142857142,7.98,0.95,1.582,12.68,34,19,21.32,21.39
PUS01,17_1049_BROWN_39,1.5892857142857142,7.98,0.95,1.582,12.68,34,19,21.32,21.39
CHS01,27_1119_ANTIC-GOLD_40,1.5892857142857142,7.98,0.95,1.582,12.68,34,19,21.32,21.39
INS01,29_1133_BROWN_39,1.6071428571428572,7.98,0.95,1.582,12.82,34,19,21.18,21.16
AHS01,28_1126_TAN_39,1.625,7.98,0.95,1.582,12.96,34,19,21.04,20.92
AHS01,27_1119_ANTIC-GOLD_41,1.625,7.98,0.95,1.582,12.96,34,19,21.04,20.92
CHS01,22_1084_NAVY_41,1.6071428571428572,7.98,0.95,1.582,12.82,34,19,21.18,21.16
HYS01,13_1021_BROWN_40,1.6071428571428572,7.98,0.95,1.582,12.82,34,19,21.18,21.16
BES01,14_1028_ROSE-GOLD_40,1.5892857142857142,7.98,0.95,1.582,12.68,34,19,21.32,21.39
HYS01,18_1056_BLACK_39,1.6071428571428572,7.98,0.95,1.582,12.82,34,19,21.18,21.16
AHS01,18_1056_ANTIC-GOLD_39,1.625,7.98,0.95,1.582,12.96,34,19,21.04,20.92
AHS01,17_1049_MAROON_40,1.6071428571428572,7.98,0.95,1.582,12.82,34,19,21.18,21.16
CHS01,27_1119_WHITE_40,1.625,7.98,0.95,1.582,12.96,34,19,21.04,20.92
MUS01,33_1161_ROSE-GOLD_40,1.625,7.98,0.95,1.582,12.96,34,19,21.04,20.92
AHS01,22_1084_NAVY_40,1.6071428571428572,7.98,0.95,1.582,12.82,34,19,21.18,21.16
AHS01,17_1049_MAROON_42,1.6071428571428572,7.98,0.95,1.582,12.82,34,19,21.18,21.16
HYS01,30_1140_WHITE_40,1.625,7.98,0.95,1.582,12.96,34,19,21.04,20.92
BHS01,28_1126_BLUE-NAVY_40,1.6071428571428572,7.98,0.95,1.582,12.82,34,19,21.18,21.16
CHS01,12_1014_ANTIC-GOLD_38,1.625,7.98,0.95,1.582,12.96,34,19,21.04,20.92
HYS01,17_1049_BLACK_41,1.5892857142857142,7.98,0.95,1.582,12.68,34,19,21.32,21.39
CHS01,17_1049_MAROON_39,1.625,7.98,0.95,1.582,12.96,34,19,21.04,20.92
SUS01,18_1056_ANTIC-GOLD_40,1.625,7.98,0.95,1.582,12.96,34,19,21.04,20.92
HYS01,14_1028_WHITE_41,1.625,7.98,0.95,1.582,12.96,34,19,21.04,20.92
CHS01,28_1126_TAN_39,1.5535714285714286,7.98,0.95,1.582,12.39,33,19,20.61,21.24
BES01,18_1056_ANTIC-GOLD_42,1.5714285714285714,7.98,0.95,1.582,12.53,33,19,20.47,21.0
BES01,17_1049_BROWN_42,1.5357142857142858,7.98,0.95,1.582,12.25,33,19,20.75,21.49
CHS01,28_1126_ROSE-GOLD_39,1.5714285714285714,7.98,0.95,1.582,12.53,33,19,20.47,21.0
HYS01,22_1084_NAVY_41,1.5714285714285714,7.98,0.95,1.582,12.53,33,19,20.47,21.0
MUS01,21_1077_MAROON_41,1.5714285714285714,7.98,0.95,1.582,12.53,33,19,20.47,21.0
BES01,29_1133_BROWN_39,1.5535714285714286,7.98,0.95,1.582,12.39,33,19,20.61,21.24
HYS01,10_1000_BROWN_42,1.5357142857142858,7.98,0.95,1.582,12.25,33,19,20.75,21.49
BES01,28_1126_ROSE-GOLD_39,1.5535714285714286,7.98,0.95,1.582,12.39,33,19,20.61,21.24
CHS01,16_1042_TAN_38,1.5357142857142858,7.98,0.95,1.582,12.25,33,19,20.75,21.49
PUS01,18_1056_GREY_39,1.5714285714285714,7.98,0.95,1.582,12.53,33,19,20.47,21.0
BHS01,12_1014_BROWN_39,1.5357142857142858,7.98,0.95,1.582,12.25,33,19,20.75,21.49
BHS01,12_1014_BROWN_43,1.5357142857142858,7.98,0.95,1.582,12.25,33,19,20.75,21.49
SUS01,17_1049_BROWN_40,1.5535714285714286,7.98,0.95,1.582,12.39,33,19,20.61,21.24
CHS01,17_1049_MAROON_41,1.5714285714285714,7.98,0.95,1.582,12.53,33,19,20.47,21.0
KOS01,14_1028_ROSE-GOLD_39,1.5714285714285714,7.98,0.95,1.582,12.53,33,19,20.47,21.0
PUS01,28_1126_TAN_38,1.5357142857142858,7.98,0.95,1.582,12.25,33,19,20.75,21.49
AHS01,29_1133_BROWN_38,1.5357142857142858,7.98,0.95,1.582,12.25,33,19,20.75,21.49
MUS01,17_1049_BLACK_40,1.5535714285714286,7.98,0.95,1.582,12.39,33,19,20.61,21.24
SUS01,12_1014_ANTIC-GOLD_42,1.5714285714285714,7.98,0.95,1.582,12.53,33,19,20.47,21.0
COS01,13_1021_WHITE_39,1.5357142857142858,7.98,0.95,1.582,12.25,33,19,20.75,21.49
MAS01,12_1014_BROWN_42,1.5357142857142858,7.98,0.95,1.582,12.25,33,19,20.75,21.49
SUS01,12_1014_ROSE-GOLD_40,1.5357142857142858,7.98,0.95,1.582,12.25,33,19,20.75,21.49
HYS01,18_1056_BLACK_41,1.5178571428571428,7.98,0.95,1.582,12.11,32,18,19.89,21.08
HYS01,13_1021_BROWN_41,1.5178571428571428,7.98,0.95,1.582,12.11,32,18,19.89,21.08
AHS01,12_1014_ROSE-GOLD_38,1.5,7.98,0.95,1.582,11.96,32,18,20.04,21.33
HYS01,17_1049_BROWN_39,1.5,7.98,0.95,1.582,11.96,32,18,20.04,21.33
MUS01,28_1126_TAN_42,1.5178571428571428,7.98,0.95,1.582,12.11,32,18,19.89,21.08
HYS01,28_1126_TAN_39,1.5178571428571428,7.98,0.95,1.582,12.11,32,18,19.89,21.08
BES01,28_1126_ROSE-GOLD_40,1.5178571428571428,7.98,0.95,1.582,12.11,32,18,19.89,21.08
HYS01,33_1161_ROSE-GOLD_41,1.5178571428571428,7.98,0.95,1.582,12.11,32,18,19.89,21.08
PUS01,18_1056_ANTIC-GOLD_39,1.5,7.98,0.95,1.582,11.96,32,18,20.04,21.33
MAS01,12_1014_ROSE-GOLD_40,1.4821428571428572,7.98,0.95,1.582,11.82,31,18,19.18,20.92
MUS01,10_1000_WHITE_39,1.4642857142857142,7.98,0.95,1.582,11.68,31,18,19.32,21.17
AHS01,16_1042_ANTIC-GOLD_40,1.4821428571428572,7.98,0.95,1.582,11.82,31,18,19.18,20.92
SUS01,27_1119_WHITE_40,1.4821428571428572,7.98,0.95,1.582,11.82,31,18,19.18,20.92
HYS01,21_1077_BLUE-NAVY_41,1.4821428571428572,7.98,0.95,1.582,11.82,31,18,19.18,20.92
MUS01,18_1056_BLACK_40,1.4821428571428572,7.98,0.95,1.582,11.82,31,18,19.18,20.92
