as_of,store_id,sku_uid,category,size_label,start_stock,days_of_cover,trailing_demand_rate,elapsed_days,p_stockout_7d,p_stockout_14d,p_stockout_28d,expected_days_out,expected_lost_units,expected_lost_revenue,rank_by_risk,rank_by_units,rank_by_revenue
2025-11-27,MUS01,18_1056_ANTIC-GOLD_40,GIRLS_OPEN,40,37,20.31,1.82,22,0.423,0.6743,0.8946,5.85,10.66,74511.22,160,32,19
2025-11-27,MUS01,18_1056_BLACK_39,GIRLS_OPEN,39,39,19.85,1.96,21,0.3741,0.6225,0.8645,5.25,10.31,72048.46,336,38,20
2025-11-27,HYS01,21_1077_BLUE-NAVY_41,PREMIUM CLOSE,41,50,24.56,2.04,30,0.3307,0.5593,0.8099,4.67,9.5,66411.39,685,46,21
2025-11-27,AHS01,18_1056_ANTIC-GOLD_39,GIRLS_OPEN,39,37,22.77,1.62,10,0.4146,0.7023,0.927,5.82,9.47,66161.09,109,47,22
2025-11-27,INS01,12_1014_ROSE-GOLD_40,CLOSE,40,81,25.06,3.23,12,0.2698,0.5278,0.8247,4.0,12.93,64525.58,897,18,23
2025-11-27,BES01,29_1133_BROWN_40,BOYS CLOSE,40,49,19.88,2.46,6,0.3516,0.6784,0.9305,5.15,12.69,63324.89,149,19,24
2025-11-27,COS01,12_1014_BROWN_39,CLOSE,39,84,25.57,3.29,14,0.2563,0.499,0.7957,3.8,12.47,62244.25,1062,20,25
2025-11-27,HYS01,18_1056_ANTIC-GOLD_41,GIRLS_OPEN,41,48,20.21,2.38,11,0.2405,0.4959,0.8072,3.64,8.64,60421.99,1082,61,26
2025-11-27,HYS01,12_1014_BROWN_38,CLOSE,38,71,19.78,3.59,13,0.2228,0.4581,0.7682,3.37,12.1,60368.67,1276,21,27
2025-11-27,CHS01,12_1014_ROSE-GOLD_39,CLOSE,39,59,17.3,3.41,6,0.2209,0.5254,0.8585,3.54,12.07,60228.91,909,22,28
2025-11-27,HYS01,12_1014_BROWN_39,CLOSE,39,144,22.72,6.34,6,0.1024,0.3284,0.7125,1.9,12.05,60141.93,1835,23,29
2025-11-27,INS01,12_1014_BROWN_40,CLOSE,40,66,20.31,3.25,10,0.2356,0.4972,0.8137,3.6,11.69,58336.1,1075,26,30
2025-11-27,AHS01,18_1056_GREY_42,GIRLS_OPEN,42,41,23.19,1.77,10,0.3079,0.5889,0.8713,4.52,7.99,55865.48,506,74,31
2025-11-27,AHS01,18_1056_GREY_39,GIRLS_OPEN,39,23,18.14,1.27,15,0.4534,0.7184,0.9249,6.25,7.93,55398.16,75,76,32
2025-11-27,PUS01,18_1056_ANTIC-GOLD_42,GIRLS_OPEN,42,26,19.95,1.3,19,0.4407,0.6972,0.9099,6.08,7.93,55396.89,118,77,33
2025-11-27,CHS01,18_1056_GREY_41,GIRLS_OPEN,41,31,16.38,1.89,11,0.2758,0.5421,0.8386,4.09,7.75,54179.19,812,84,34
2025-11-27,BES01,18_1056_ANTIC-GOLD_42,GIRLS_OPEN,42,42,26.73,1.57,11,0.3416,0.6205,0.8849,4.92,7.74,54083.67,350,85,35
2025-11-27,BES01,12_1014_ROSE-GOLD_39,CLOSE,39,71,26.68,2.66,6,0.255,0.5703,0.8827,3.97,10.57,52765.01,616,33,36
2025-11-27,MUS01,29_1133_BROWN_41,BOYS CLOSE,41,74,21.93,3.38,12,0.2033,0.4359,0.7554,3.13,10.55,52667.83,1373,34,37
2025-11-27,BES01,29_1133_BROWN_42,BOYS CLOSE,42,36,21.0,1.71,12,0.4423,0.7183,0.9295,6.14,10.52,52497.0,76,36,38
2025-11-27,BES01,26_1112_WHITE_41,OPEN,41,34,17.15,1.98,11,0.4812,0.7576,0.9469,6.61,13.1,52249.68,34,17,39
2025-11-27,INS01,29_1133_BROWN_41,BOYS CLOSE,41,21,13.52,1.55,20,0.4914,0.7444,0.9321,6.69,10.39,51866.59,48,37,40
2025-11-27,CHS01,12_1014_ROSE-GOLD_41,CLOSE,41,60,24.17,2.48,13,0.2821,0.5378,0.8274,4.14,10.29,51330.06,838,39,41
2025-11-27,PUS01,18_1056_GREY_41,GIRLS_OPEN,41,30,20.49,1.46,17,0.3455,0.5988,0.8562,4.91,7.19,50257.52,450,102,42
2025-11-27,PUS01,12_1014_ANTIC-GOLD_41,CLOSE,41,89,22.15,4.02,10,0.1534,0.3731,0.714,2.49,10.0,49915.27,1670,41,43
2025-11-27,MUS01,18_1056_ANTIC-GOLD_42,GIRLS_OPEN,42,15,14.0,1.07,21,0.4819,0.7344,0.9267,6.57,7.04,49239.32,52,110,44
2025-11-27,INS01,12_1014_BROWN_39,CLOSE,39,26,17.98,1.45,21,0.486,0.7382,0.9286,6.62,9.58,47810.19,51,44,45
2025-11-27,HYS01,11_1007_TAN_40,PREMIUM CLOSE,40,27,15.12,1.79,10,0.2481,0.5141,0.8252,3.76,6.71,46931.21,977,125,46
2025-11-27,BES01,12_1014_ROSE-GOLD_38,CLOSE,38,43,17.08,2.52,5,0.2308,0.5572,0.8831,3.72,9.36,46713.39,700,53,47
2025-11-27,MUS01,18_1056_ANTIC-GOLD_39,GIRLS_OPEN,39,52,31.65,1.64,18,0.2757,0.5093,0.7904,4.01,6.59,46035.28,1003,130,48
2025-11-27,INS01,18_1056_BLACK_41,GIRLS_OPEN,41,36,32.0,1.12,31,0.422,0.665,0.8832,5.82,6.55,45772.65,185,133,49
2025-11-27,BES01,18_1056_BLACK_40,GIRLS_OPEN,40,28,25.7,1.09,12,0.4227,0.6996,0.9213,5.9,6.43,44935.22,114,136,50
2025-11-27,KOS01,12_1014_ROSE-GOLD_42,CLOSE,42,29,17.46,1.66,11,0.3804,0.6622,0.9062,5.4,8.97,44751.14,193,55,51
2025-11-27,BHS01,12_1014_BROWN_40,CLOSE,40,79,29.3,2.7,12,0.2179,0.4573,0.7727,3.32,8.96,44706.49,1278,56,52
2025-11-27,COS01,18_1056_ANTIC-GOLD_40,GIRLS_OPEN,40,20,17.78,1.12,18,0.4078,0.6653,0.894,5.68,6.39,44664.49,183,141,53
2025-11-27,SUS01,12_1014_ROSE-GOLD_40,CLOSE,40,34,22.14,1.54,18,0.4081,0.6656,0.8942,5.68,8.73,43552.89,180,59,54
2025-11-27,CHS01,18_1056_GREY_39,GIRLS_OPEN,39,48,24.89,1.93,15,0.2136,0.4345,0.7391,3.22,6.21,43394.68,1379,149,55
2025-11-27,BES01,18_1056_ANTIC-GOLD_38,GIRLS_OPEN,38,33,26.78,1.23,10,0.3476,0.6339,0.8953,5.01,6.18,43180.32,290,150,56
2025-11-27,INS01,12_1014_ROSE-GOLD_41,CLOSE,41,39,18.51,2.11,9,0.2733,0.5556,0.8567,4.11,8.65,43174.27,712,60,57
2025-11-27,KOS01,12_1014_ROSE-GOLD_38,CLOSE,38,34,23.22,1.46,19,0.425,0.6812,0.9014,5.89,8.62,43015.27,145,62,58
2025-11-27,HYS01,21_1077_MAROON_39,PREMIUM CLOSE,39,20,14.93,1.34,11,0.3143,0.5891,0.8674,4.58,6.14,42900.35,502,152,59
2025-11-27,MAS01,12_1014_BROWN_41,CLOSE,41,29,17.65,1.64,15,0.3613,0.6234,0.8755,5.12,8.42,42005.33,332,67,60
2025-11-27,KOS01,12_1014_ROSE-GOLD_41,CLOSE,41,37,18.02,2.05,7,0.2662,0.5695,0.8759,4.08,8.37,41765.47,621,68,61
2025-11-27,PUS01,18_1056_ANTIC-GOLD_39,GIRLS_OPEN,39,40,26.67,1.5,13,0.2696,0.5218,0.8163,3.98,5.97,41763.14,925,167,62
2025-11-27,COS01,18_1056_ANTIC-GOLD_41,GIRLS_OPEN,41,26,21.41,1.21,20,0.3477,0.594,0.8474,4.92,5.97,41759.64,482,168,63
2025-11-27,MUS01,21_1077_MAROON_41,PREMIUM CLOSE,41,33,21.0,1.57,16,0.2551,0.4887,0.7803,3.76,5.91,41278.56,1125,173,64
2025-11-27,BHS01,12_1014_ROSE-GOLD_39,CLOSE,39,36,22.65,1.59,15,0.3588,0.6205,0.8738,5.09,8.09,40383.35,349,72,65
2025-11-27,MUS01,18_1056_BLACK_40,GIRLS_OPEN,40,40,26.99,1.48,18,0.2658,0.4963,0.7801,3.88,5.75,40201.06,1079,183,66
2025-11-27,MUS01,32_1154_MAROON_40,CLOSE,40,14,13.75,1.02,15,0.3964,0.6614,0.8967,5.56,5.66,39541.43,197,190,67
2025-11-27,BHS01,12_1014_ROSE-GOLD_41,CLOSE,41,46,25.76,1.79,15,0.3063,0.5588,0.8349,4.43,7.91,39475.93,688,78,68
2025-11-27,AHS01,18_1056_GREY_41,GIRLS_OPEN,41,18,14.82,1.21,6,0.3096,0.6344,0.9127,4.65,5.64,39444.53,289,192,69
2025-11-27,PUS01,18_1056_GREY_39,GIRLS_OPEN,39,36,22.91,1.57,15,0.2375,0.4686,0.7679,3.54,5.56,38856.49,1236,202,70
2025-11-27,KOS01,21_1077_BLUE-NAVY_41,PREMIUM CLOSE,41,18,17.38,1.04,14,0.3797,0.6473,0.8911,5.36,5.55,38808.21,245,205,71
2025-11-27,INS01,18_1056_GREY_42,GIRLS_OPEN,42,18,19.76,0.91,21,0.4419,0.6952,0.9069,6.09,5.54,38753.48,121,207,72
2025-11-27,INS01,12_1014_BROWN_41,CLOSE,41,50,25.93,1.93,18,0.2752,0.5086,0.7899,4.0,7.72,38511.88,1008,87,73
2025-11-27,BES01,18_1056_ANTIC-GOLD_41,GIRLS_OPEN,41,27,25.63,1.05,9,0.3621,0.657,0.9099,5.21,5.49,38348.81,210,212,74
2025-11-27,MAS01,12_1014_BROWN_42,CLOSE,42,26,16.93,1.54,23,0.3548,0.5968,0.845,5.0,7.67,38283.95,467,88,75
2025-11-27,HYS01,26_1112_WHITE_40,OPEN,40,51,23.41,2.18,26,0.3068,0.5336,0.794,4.37,9.52,37994.17,864,45,76
2025-11-27,BES01,21_1077_BLUE-NAVY_40,PREMIUM CLOSE,40,38,27.28,1.39,8,0.2548,0.5426,0.8547,3.9,5.43,37956.54,806,214,77
2025-11-27,MUS01,18_1056_ANTIC-GOLD_38,GIRLS_OPEN,38,27,22.24,1.21,17,0.3087,0.5546,0.8265,4.44,5.39,37706.07,720,218,78
2025-11-27,PUS01,10_1000_ROSE-GOLD_40,PREMIUM CLOSE,40,34,18.85,1.8,18,0.3716,0.6259,0.8711,5.23,9.43,37639.37,320,48,79
2025-11-27,COS01,12_1014_ANTIC-GOLD_41,CLOSE,41,61,22.62,2.7,10,0.1752,0.4084,0.7453,2.79,7.52,37535.89,1496,92,80
2025-11-27,HYS01,26_1112_WHITE_42,OPEN,42,40,19.65,2.04,22,0.3239,0.5613,0.8212,4.61,9.38,37421.52,671,51,81
2025-11-27,INS01,18_1056_BLACK_39,GIRLS_OPEN,39,23,22.6,1.02,20,0.3708,0.6206,0.8647,5.21,5.3,37071.31,348,226,82
2025-11-27,COS01,18_1056_ANTIC-GOLD_42,GIRLS_OPEN,42,17,17.0,1.0,13,0.3647,0.6352,0.8869,5.18,5.18,36236.99,288,238,83
2025-11-27,SUS01,18_1056_ANTIC-GOLD_39,GIRLS_OPEN,39,28,26.13,1.07,18,0.3385,0.5878,0.8469,4.81,5.16,36055.54,519,242,84
2025-11-27,CHS01,19_1063_MAROON_40,BOYS CLOSE,40,18,18.0,1.0,19,0.3623,0.613,0.8615,5.11,5.11,35710.69,376,252,85
2025-11-27,MAS01,12_1014_ROSE-GOLD_40,CLOSE,40,33,22.27,1.48,12,0.3345,0.6065,0.8739,4.82,7.15,35657.52,407,104,86
2025-11-27,AHS01,29_1133_BROWN_40,BOYS CLOSE,40,32,21.85,1.46,7,0.3311,0.6442,0.9121,4.88,7.14,35625.45,256,105,87
2025-11-27,SUS01,12_1014_ANTIC-GOLD_38,CLOSE,38,32,15.86,2.02,11,0.2328,0.4852,0.7995,3.54,7.14,35620.86,1146,107,88
2025-11-27,COS01,18_1056_GREY_40,GIRLS_OPEN,40,40,28.72,1.39,22,0.2494,0.4637,0.7423,3.64,5.07,35410.9,1252,255,89
2025-11-27,SUS01,12_1014_ROSE-GOLD_39,CLOSE,39,46,22.21,2.07,9,0.2189,0.4832,0.8101,3.4,7.05,35172.08,1153,109,90
2025-11-27,BES01,27_1119_ANTIC-GOLD_39,CLOSE,39,66,28.0,2.36,16,0.3507,0.6079,0.864,4.98,11.74,35115.93,398,24,91
2025-11-27,HYS01,19_1063_MAROON_41,BOYS CLOSE,41,29,16.24,1.79,7,0.1669,0.4293,0.7868,2.78,4.96,34641.22,1404,262,92
2025-11-27,CHS01,18_1056_ANTIC-GOLD_42,GIRLS_OPEN,42,31,31.0,1.0,26,0.3489,0.5858,0.8337,4.91,4.91,34330.83,533,265,93
2025-11-27,PUS01,12_1014_BROWN_38,CLOSE,38,53,23.19,2.29,14,0.1969,0.4147,0.7263,3.01,6.88,34317.33,1467,116,94
2025-11-27,PUS01,11_1007_TAN_40,PREMIUM CLOSE,40,18,16.8,1.07,15,0.3151,0.5696,0.8421,4.54,4.87,34021.32,619,268,95
2025-11-27,BES01,11_1007_TAN_39,PREMIUM CLOSE,39,13,18.2,0.71,15,0.495,0.7566,0.9415,6.75,4.82,33701.44,35,273,96
2025-11-27,MAS01,12_1014_ANTIC-GOLD_40,CLOSE,40,28,21.48,1.3,23,0.3693,0.6138,0.8564,5.18,6.75,33694.23,374,121,97
2025-11-27,CHS01,18_1056_BLACK_43,GIRLS_OPEN,43,24,21.33,1.12,17,0.2895,0.5304,0.8091,4.2,4.72,32995.04,886,278,98
2025-11-27,CHS01,26_1112_WHITE_39,OPEN,39,67,22.33,3.0,11,0.1744,0.3989,0.7299,2.76,8.27,32979.5,1541,70,99
2025-11-27,CHS01,18_1056_ANTIC-GOLD_43,GIRLS_OPEN,43,29,25.38,1.14,20,0.2777,0.5066,0.7832,4.02,4.6,32120.35,1022,287,100
2025-11-27,CHS01,12_1014_ANTIC-GOLD_38,CLOSE,38,38,23.38,1.62,21,0.2726,0.4975,0.7735,3.95,6.42,32016.02,1072,138,101
2025-11-27,BHS01,12_1014_BROWN_38,CLOSE,38,43,23.61,1.82,14,0.2351,0.47,0.7732,3.52,6.41,31976.38,1228,139,102
2025-11-27,COS01,12_1014_ROSE-GOLD_42,CLOSE,42,29,20.56,1.41,10,0.3096,0.5909,0.8724,4.54,6.41,31970.32,493,140,103
2025-11-27,SUS01,12_1014_ROSE-GOLD_41,CLOSE,41,58,26.19,2.21,10,0.1822,0.4194,0.7545,2.89,6.39,31883.84,1444,142,104
2025-11-27,MUS01,21_1077_MAROON_40,PREMIUM CLOSE,40,23,21.11,1.09,19,0.2863,0.5204,0.7964,4.14,4.51,31519.63,936,293,105
2025-11-27,INS01,12_1014_BROWN_38,CLOSE,38,15,10.24,1.46,6,0.2783,0.5988,0.8966,4.26,6.24,31160.6,453,146,106
2025-11-27,BHS01,18_1056_BLACK_40,GIRLS_OPEN,40,29,25.78,1.12,13,0.2673,0.5187,0.8142,3.95,4.45,31084.62,945,300,107
2025-11-27,CHS01,12_1014_ROSE-GOLD_42,CLOSE,42,90,27.54,3.27,7,0.1056,0.3198,0.6921,1.9,6.22,31030.13,1855,148,108
2025-11-27,BES01,19_1063_MAROON_42,BOYS CLOSE,42,15,15.0,1.0,5,0.2844,0.6229,0.9133,4.38,4.38,30628.88,333,308,109
2025-11-27,HYS01,11_1007_BLACK_39,PREMIUM CLOSE,39,18,21.45,0.84,33,0.3735,0.609,0.8448,5.21,4.37,30555.99,392,309,110
2025-11-27,BHS01,12_1014_BROWN_43,CLOSE,43,31,20.19,1.54,12,0.2684,0.5261,0.8235,3.98,6.12,30524.08,905,156,111
2025-11-27,CHS01,18_1056_BLACK_39,GIRLS_OPEN,39,27,29.08,0.93,24,0.3257,0.5602,0.8174,4.62,4.29,29997.56,676,318,112
2025-11-27,KOS01,29_1133_BROWN_41,BOYS CLOSE,41,24,21.33,1.12,15,0.3745,0.6379,0.8838,5.29,5.95,29683.63,281,170,113
2025-11-27,MAS01,12_1014_BROWN_40,CLOSE,40,23,21.47,1.07,23,0.3985,0.6467,0.8773,5.55,5.94,29650.64,246,171,114
2025-11-27,INS01,29_1133_BROWN_40,BOYS CLOSE,40,40,20.0,2.0,7,0.1802,0.4504,0.8022,2.96,5.91,29501.74,1309,172,115
2025-11-27,CHS01,18_1056_ANTIC-GOLD_39,GIRLS_OPEN,39,27,18.22,1.48,4,0.1593,0.4746,0.847,2.85,4.22,29491.21,1200,328,116
2025-11-27,HYS01,31_1147_ANTIC-GOLD_42,PREMIUM CLOSE,42,32,16.59,1.93,18,0.3568,0.6091,0.8607,5.05,9.73,29092.75,389,43,117
2025-11-27,INS01,12_1014_ROSE-GOLD_39,CLOSE,39,35,24.81,1.41,13,0.2801,0.5353,0.8257,4.12,5.81,28990.94,854,179,118
2025-11-27,MUS01,24_1098_WHITE_42,OPEN,42,14,11.7,1.2,18,0.4382,0.6966,0.9106,6.05,7.24,28897.07,119,99,119
2025-11-27,INS01,12_1014_BROWN_42,CLOSE,42,30,28.97,1.04,25,0.3974,0.643,0.8732,5.53,5.72,28558.0,259,185,120
2025-11-27,HYS01,18_1056_ANTIC-GOLD_40,GIRLS_OPEN,40,46,21.29,2.16,5,0.0976,0.3364,0.7329,1.89,4.07,28476.45,1806,351,121
2025-11-27,COS01,12_1014_ROSE-GOLD_40,CLOSE,40,30,20.74,1.45,6,0.2517,0.5661,0.8805,3.93,5.69,28377.26,640,187,122
2025-11-27,COS01,18_1056_GREY_42,GIRLS_OPEN,42,26,25.54,1.02,15,0.2717,0.5148,0.8038,3.98,4.06,28352.19,972,357,123
2025-11-27,MUS01,21_1077_BLUE-NAVY_40,PREMIUM CLOSE,40,19,20.08,0.95,14,0.2939,0.5478,0.8306,4.28,4.05,28336.59,769,358,124
2025-11-27,KOS01,27_1119_ANTIC-GOLD_41,CLOSE,41,36,19.2,1.88,16,0.3537,0.6113,0.8661,5.02,9.41,28142.95,383,50,125
2025-11-27,PUS01,12_1014_BROWN_40,CLOSE,40,108,31.18,3.46,8,0.0896,0.2746,0.6324,1.62,5.63,28079.98,2009,193,126
2025-11-27,COS01,29_1133_BROWN_41,BOYS CLOSE,41,21,19.93,1.05,23,0.3789,0.6247,0.8635,5.3,5.58,27863.95,326,198,127
2025-11-27,COS01,12_1014_BROWN_38,CLOSE,38,40,29.47,1.36,27,0.2859,0.505,0.7691,4.1,5.56,27734.14,1032,203,128
2025-11-27,BHS01,29_1133_BROWN_41,BOYS CLOSE,41,32,25.24,1.27,20,0.3047,0.5415,0.8102,4.37,5.54,27654.91,814,208,129
2025-11-27,INS01,18_1056_ANTIC-GOLD_40,GIRLS_OPEN,40,14,19.6,0.71,18,0.3961,0.6529,0.887,5.54,3.95,27640.49,219,371,130
2025-11-27,CHS01,30_1140_WHITE_41,PREMIUM CLOSE,41,25,19.72,1.27,17,0.3016,0.5458,0.8203,4.35,5.52,27532.98,785,211,131
2025-11-27,MAS01,18_1056_ANTIC-GOLD_39,GIRLS_OPEN,39,18,24.0,0.75,17,0.3701,0.6268,0.8734,5.22,3.91,27354.83,316,376,132
2025-11-27,PUS01,11_1007_BLACK_40,PREMIUM CLOSE,40,28,21.78,1.29,12,0.1969,0.4263,0.7474,3.04,3.91,27326.55,1413,377,133
2025-11-27,AHS01,20_1070_ANTIC-GOLD_41,PREMIUM CLOSE,41,17,20.7,0.82,21,0.3319,0.573,0.8313,4.71,3.87,27068.67,599,384,134
2025-11-27,BES01,18_1056_ANTIC-GOLD_43,GIRLS_OPEN,43,14,21.78,0.64,10,0.4305,0.7174,0.9332,6.02,3.87,27029.84,78,386,135
2025-11-27,PUS01,21_1077_BLUE-NAVY_41,PREMIUM CLOSE,41,22,25.67,0.86,17,0.3082,0.554,0.8261,4.44,3.8,26580.54,724,392,136
2025-11-27,BES01,12_1014_ROSE-GOLD_43,CLOSE,43,38,30.84,1.23,17,0.299,0.5425,0.818,4.32,5.32,26551.06,809,223,137
2025-11-27,AHS01,27_1119_WHITE_40,CLOSE,40,63,25.38,2.48,9,0.2322,0.5018,0.8228,3.58,8.88,26549.7,1048,57,138
2025-11-27,PUS01,31_1147_ANTIC-GOLD_40,PREMIUM CLOSE,40,40,20.36,1.96,16,0.3093,0.5587,0.832,4.46,8.76,26187.06,689,58,139
2025-11-27,PUS01,12_1014_BROWN_39,CLOSE,39,65,27.79,2.34,9,0.1336,0.3485,0.6994,2.24,5.23,26121.31,1763,230,140
2025-11-27,MAS01,29_1133_BROWN_40,BOYS CLOSE,40,15,15.56,0.96,10,0.3802,0.6683,0.9119,5.41,5.22,26037.82,174,234,141
2025-11-27,KOS01,29_1133_BROWN_42,BOYS CLOSE,42,19,14.78,1.29,7,0.2647,0.5676,0.8748,4.06,5.22,26023.72,630,235,142
2025-11-27,HYS01,11_1007_BLACK_43,PREMIUM CLOSE,43,17,22.67,0.75,31,0.3531,0.5861,0.8295,4.95,3.71,25965.95,529,399,143
2025-11-27,AHS01,12_1014_ROSE-GOLD_44,CLOSE,44,21,20.63,1.02,12,0.3577,0.6325,0.8882,5.11,5.2,25953.08,295,236,144
2025-11-27,CHS01,19_1063_MAROON_43,BOYS CLOSE,43,10,14.36,0.7,14,0.3762,0.6434,0.889,5.32,3.7,25880.97,257,401,145
2025-11-27,PUS01,18_1056_ANTIC-GOLD_43,GIRLS_OPEN,43,14,14.25,0.98,7,0.2421,0.5387,0.8588,3.77,3.7,25876.43,835,402,146
2025-11-27,MAS01,12_1014_ANTIC-GOLD_42,CLOSE,42,36,24.89,1.45,21,0.2444,0.4589,0.7404,3.58,5.17,25814.96,1271,241,147
2025-11-27,HYS01,26_1112_WHITE_41,OPEN,41,33,18.86,1.75,11,0.2448,0.5016,0.8113,3.7,6.47,25800.75,1049,134,148
2025-11-27,MUS01,18_1056_ANTIC-GOLD_41,GIRLS_OPEN,41,30,29.47,1.02,17,0.2438,0.4695,0.7613,3.6,3.66,25611.42,1231,411,149
2025-11-27,CHS01,11_1007_TAN_39,PREMIUM CLOSE,39,31,25.16,1.23,14,0.1934,0.4094,0.7215,2.96,3.65,25507.27,1492,415,150
2025-11-27,BHS01,11_1007_BLACK_41,PREMIUM CLOSE,41,18,23.44,0.77,33,0.3373,0.5653,0.8122,4.75,3.64,25477.6,645,416,151
2025-11-27,SUS01,18_1056_ANTIC-GOLD_38,GIRLS_OPEN,38,21,18.38,1.14,8,0.2001,0.4673,0.8061,3.19,3.64,25452.27,1243,417,152
2025-11-27,HYS01,21_1077_MAROON_42,PREMIUM CLOSE,42,32,25.24,1.27,14,0.1868,0.3992,0.7122,2.87,3.64,25444.04,1538,418,153
2025-11-27,BES01,11_1007_TAN_42,PREMIUM CLOSE,42,40,32.46,1.23,21,0.1979,0.3911,0.6761,2.95,3.64,25423.55,1581,420,154
2025-11-27,KOS01,11_1007_TAN_38,PREMIUM CLOSE,38,6,12.92,0.46,19,0.5858,0.8252,0.9649,7.81,3.63,25357.4,8,425,155
2025-11-27,COS01,12_1014_ANTIC-GOLD_38,CLOSE,38,22,21.24,1.04,29,0.3489,0.5827,0.8285,4.9,5.08,25341.98,550,253,156
2025-11-27,COS01,18_1056_BLACK_40,GIRLS_OPEN,40,25,25.45,0.98,12,0.2438,0.4934,0.8003,3.66,3.6,25148.3,1098,432,157
2025-11-27,BES01,21_1077_BLUE-NAVY_41,PREMIUM CLOSE,41,43,25.89,1.66,5,0.1161,0.3742,0.7653,2.16,3.59,25111.36,1663,435,158
2025-11-27,AHS01,29_1133_BROWN_42,BOYS CLOSE,42,27,24.79,1.09,20,0.3235,0.5648,0.8272,4.61,5.02,25066.74,646,257,159
2025-11-27,CHS01,12_1014_ANTIC-GOLD_43,CLOSE,43,19,17.44,1.09,17,0.3209,0.5696,0.8369,4.6,5.01,24995.21,620,258,160
2025-11-27,SUS01,18_1056_ANTIC-GOLD_40,GIRLS_OPEN,40,40,24.62,1.62,8,0.1278,0.3492,0.7097,2.19,3.56,24855.11,1760,438,161
2025-11-27,CHS01,18_1056_ANTIC-GOLD_41,GIRLS_OPEN,41,19,25.33,0.75,19,0.3311,0.5764,0.8373,4.71,3.54,24716.54,579,441,162
2025-11-27,KOS01,18_1056_GREY_40,GIRLS_OPEN,40,21,16.11,1.3,5,0.1544,0.4436,0.8168,2.71,3.53,24677.94,1339,442,163
2025-11-27,AHS01,17_1049_MAROON_41,CLOSE,41,42,19.6,2.14,8,0.3086,0.6079,0.8904,4.57,9.8,24403.59,396,42,164
2025-11-27,CHS01,11_1007_TAN_42,PREMIUM CLOSE,42,14,19.12,0.73,17,0.334,0.5853,0.8474,4.76,3.49,24385.26,536,450,165
